"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","4 K","Unknown","NT AUTHORITY\SYSTEM","963:35:52","N/A"
"System","4","Services","0","44,480 K","Unknown","N/A","0:47:45","N/A"
"smss.exe","596","Services","0","1,040 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","736","Services","0","4,396 K","Unknown","N/A","0:00:02","N/A"
"wininit.exe","824","Services","0","4,976 K","Unknown","N/A","0:00:00","N/A"
"services.exe","876","Services","0","11,456 K","Unknown","N/A","0:00:32","N/A"
"lsass.exe","884","Services","0","19,112 K","Unknown","N/A","0:00:46","N/A"
"svchost.exe","980","Services","0","32,900 K","Unknown","N/A","0:00:11","N/A"
"svchost.exe","104","Services","0","12,208 K","Unknown","N/A","0:00:43","N/A"
"svchost.exe","1088","Services","0","25,184 K","Unknown","N/A","0:01:31","N/A"
"svchost.exe","1140","Services","0","32,568 K","Unknown","N/A","0:01:38","N/A"
"svchost.exe","1160","Services","0","30,912 K","Unknown","N/A","0:00:04","N/A"
"svchost.exe","1252","Services","0","62,144 K","Unknown","N/A","0:02:23","N/A"
"WUDFHost.exe","1312","Services","0","7,648 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1324","Services","0","30,504 K","Unknown","N/A","0:02:07","N/A"
"svchost.exe","1440","Services","0","10,700 K","Unknown","N/A","0:10:31","N/A"
"svchost.exe","1788","Services","0","67,932 K","Unknown","N/A","0:01:02","N/A"
"igfxCUIService.exe","1920","Services","0","8,576 K","Unknown","N/A","0:00:00","N/A"
"RtkAudioService64.exe","1476","Services","0","6,944 K","Unknown","N/A","0:00:00","N/A"
"IntelCpHeciSvc.exe","2064","Services","0","7,120 K","Unknown","N/A","0:00:00","N/A"
"spoolsv.exe","2152","Services","0","20,524 K","Unknown","N/A","0:00:02","N/A"
"mitsijm.exe","2476","Services","0","6,928 K","Unknown","N/A","0:00:00","N/A"
"AppleMobileDeviceService.exe","2484","Services","0","10,936 K","Unknown","N/A","0:00:29","N/A"
"svchost.exe","2500","Services","0","4,248 K","Unknown","N/A","0:00:00","N/A"
"DellOSDService.exe","2512","Services","0","7,708 K","Unknown","N/A","0:00:00","N/A"
"IPROSetMonitor.exe","2520","Services","0","6,464 K","Unknown","N/A","0:00:00","N/A"
"ibtsiva.exe","2532","Services","0","4,760 K","Unknown","N/A","0:00:00","N/A"
"EvtEng.exe","2540","Services","0","13,676 K","Unknown","N/A","0:00:01","N/A"
"NTRTScan.exe","2576","Services","0","5,188 K","Unknown","N/A","0:05:24","N/A"
"armsvc.exe","2596","Services","0","5,864 K","Unknown","N/A","0:00:00","N/A"
"AGSService.exe","2616","Services","0","15,464 K","Unknown","N/A","0:00:03","N/A"
"svchost.exe","2748","Services","0","4,228 K","Unknown","N/A","0:00:00","N/A"
"RegSrvc.exe","2776","Services","0","7,968 K","Unknown","N/A","0:00:00","N/A"
"UoipService.exe","2796","Services","0","7,280 K","Unknown","N/A","0:00:08","N/A"
"RichVideo.exe","2808","Services","0","6,084 K","Unknown","N/A","0:00:00","N/A"
"mDNSResponder.exe","2848","Services","0","6,412 K","Unknown","N/A","0:00:45","N/A"
"svchost.exe","2856","Services","0","19,200 K","Unknown","N/A","0:00:09","N/A"
"WavesSysSvc64.exe","2872","Services","0","5,768 K","Unknown","N/A","0:00:00","N/A"
"sqlwriter.exe","2892","Services","0","7,380 K","Unknown","N/A","0:00:00","N/A"
